num,name,price,type,star,sold,from,img_src,url
61,แม่จินต์ กระเทียมดอง 1800 กรัม,฿230,ร้านแนะนำ,4.7143,10.0,จังหวัดปทุมธานี,https://cf.shopee.co.th/file/481260e37587795413e19fa599b9b5e6_tn,https://shopee.co.th//แม่จินต์-กระเทียมดอง-1800-กรัม-i.56468472.5332381030
62,กระเทียมโทนดองสามรส 250กรัมหอมกรอบอร่อย,฿29,general,4.5,49.0,จังหวัดศรีสะเกษ,https://cf.shopee.co.th/file/8efd58db1e9963cab29f12c3acae9e70_tn,https://shopee.co.th//กระเทียมโทนดองสามรส-250กรัมหอมกรอบอร่อย-i.165777162.5542879190
63,กระเทียมโทนดองสามรส ป่าไผ่ (บรรจุถุง นน.กระเทียม 230 กรัม),฿85,general,4.8378,69.0,จังหวัดปทุมธานี,https://cf.shopee.co.th/file/a6564af0c2942f75801528f28f884c6d_tn,https://shopee.co.th//กระเทียมโทนดองสามรส-ป่าไผ่-(บรรจุถุง-นน.กระเทียม-230-กรัม)-i.76165427.3609390037
64,กระเทียมดอง ตราแม่จินต์  220 กรัม (แพ็ค 6),฿35,ร้านแนะนำ,4.8,89.0,จังหวัดสิงห์บุรี,https://cf.shopee.co.th/file/297caceb4daa6d263b9915c197645e4b_tn,https://shopee.co.th//กระเทียมดอง-ตราแม่จินต์-220-กรัม-(แพ็ค-6)-i.93178555.4930159652
65,แม่จินต์ กระเทียมดอง 340 กรัม,฿55,ร้านแนะนำ,5.0,13.0,จังหวัดสิงห์บุรี,https://cf.shopee.co.th/file/58764dee40510f05477eaabee8e83b20_tn,https://shopee.co.th//แม่จินต์-กระเทียมดอง-340-กรัม-i.93178555.4830005329
66,กระเทียมโทนดองน้ำผึ้ง,฿50 - ฿150,general,4.6667,27.0,จังหวัดลำปาง,https://cf.shopee.co.th/file/171feb20f175980c8896009472fbe6b8_tn,https://shopee.co.th//กระเทียมโทนดองน้ำผึ้ง-i.50573751.1144272008
67,กระเทียมดอง โรงงานเกรียงไกรผลไม้ ขวด 2P น้ำหนักเนื้อ 450 ก.,฿119,general,4.9,26.0,จังหวัดเชียงใหม่,https://cf.shopee.co.th/file/0047f0919b22d0240678b85ff0ef4074_tn,https://shopee.co.th//กระเทียมดอง-โรงงานเกรียงไกรผลไม้-ขวด-2P-น้ำหนักเนื้อ-450-ก.-i.223101025.3621059693
68,กระเทียมดอง Garlic Pickled ส่งเฮง (ขวดเล็ก),฿20,ร้านแนะนำ,4.8571,11.0,จังหวัดนครศรีธรรมราช,https://cf.shopee.co.th/file/0cb8b8eb59b053dbe4ce123939900acc_tn,https://shopee.co.th//กระเทียมดอง-Garlic-Pickled-ส่งเฮง-(ขวดเล็ก)-i.232602982.4518644167
69,[GL]กระเทียมโทนดองน้ำผึ้งขวด 900 กรัม (น้ำหนักเนื้อ 500 กรัม),฿230,ร้านแนะนำ,5.0,39.0,จังหวัดเชียงใหม่,https://cf.shopee.co.th/file/0a3489dbdd61c9ebc0b208fcc36acda2_tn,https://shopee.co.th//-GL-กระเทียมโทนดองน้ำผึ้งขวด-900-กรัม-(น้ำหนักเนื้อ-500-กรัม)-i.54833404.1640869078
70,กระเทียมดอง ตรา แม่จินต์ 1ขวด 2ปอนด์ รุ่น870g ราคาพิเศษ! พร้อมส่ง..,฿120,ร้านแนะนำ,4.75,15.0,จังหวัดสงขลา,https://cf.shopee.co.th/file/86cb539ba14ae6fa0260f7ded9da4a5e_tn,https://shopee.co.th//กระเทียมดอง-ตรา-แม่จินต์-1ขวด-2ปอนด์-รุ่น870g-ราคาพิเศษ!-พร้อมส่ง..-i.123476800.5610794316
71,กระเทียมโทนดอง เพื่อสุขภาพ,฿35,general,0.0,no sold,จังหวัดแพร่,https://cf.shopee.co.th/file/6565b1ef21777d67a22bf146ae99a296_tn,https://shopee.co.th//กระเทียมโทนดอง-เพื่อสุขภาพ-i.70250563.10203953568
72,กระเทียมโทน ดอง แม่จินต์ 1กระปุก/870g สินค้าคุณภาพ พร้อมส่ง!!,฿245,ร้านแนะนำ,4.8889,37.0,จังหวัดสงขลา,https://cf.shopee.co.th/file/274ac13cd59c43f76a4669596a338d69_tn,https://shopee.co.th//กระเทียมโทน-ดอง-แม่จินต์-1กระปุก-870g-สินค้าคุณภาพ-พร้อมส่ง!!-i.123476800.2063388543
73,กระเทียมดอง ตราเข็มทิศ,฿10 - ฿40,general,5.0,8.0,จังหวัดนครสวรรค์,https://cf.shopee.co.th/file/b5b9ff2b2928243a1486eb0ad93e00ab_tn,https://shopee.co.th//กระเทียมดอง-ตราเข็มทิศ-i.64403079.6361368032
